|Happy|Angry|Surprise|Sad|Fear|emotion
454|0.0|0.0|0.0|0.0|0.0|Happy
455|0.0|0.0|0.0|0.0|0.0|Happy
456|0.0|0.0|0.0|0.0|0.0|Happy
457|0.0|0.0|0.0|0.0|0.0|Happy
458|0.0|0.0|0.0|1.0|0.0|Sad
459|0.0|0.0|0.0|0.0|0.0|Happy
460|0.11|0.0|0.44|0.22|0.22|Surprise
461|0.19|0.0|0.19|0.25|0.38|Fear
462|0.0|0.0|0.0|0.0|0.0|Happy
463|0.0|0.0|0.33|0.44|0.22|Sad
464|0.2|0.0|0.2|0.4|0.2|Sad
465|0.0|0.0|0.0|0.0|0.0|Happy
466|0.0|0.0|0.0|0.0|0.0|Happy
467|0.0|0.0|0.0|0.0|0.0|Happy
468|0.0|0.0|0.0|0.0|0.0|Happy
469|0.0|0.07|0.47|0.13|0.33|Surprise
470|0.0|0.0|0.0|0.0|0.0|Happy
471|0.0|0.0|0.0|0.0|0.0|Happy
472|0.0|0.0|0.0|1.0|0.0|Sad
473|0.17|0.0|0.33|0.0|0.5|Fear
474|0.0|0.0|0.0|0.0|0.0|Happy
475|0.0|0.0|0.2|0.6|0.2|Sad
476|0.0|0.0|0.0|0.0|0.0|Happy
477|0.11|0.0|0.44|0.11|0.33|Surprise
478|0.0|0.0|0.0|0.0|0.0|Happy
479|0.0|0.0|0.0|0.0|0.0|Happy
480|0.0|0.0|0.5|0.0|0.5|Surprise
481|0.5|0.0|0.0|0.5|0.0|Happy
482|1.0|0.0|0.0|0.0|0.0|Happy
483|0.18|0.0|0.36|0.09|0.36|Surprise
484|0.33|0.0|0.0|0.33|0.33|Happy
485|0.2|0.0|0.0|0.4|0.4|Sad
486|0.67|0.0|0.0|0.33|0.0|Happy
487|0.0|0.0|0.0|1.0|0.0|Sad
488|0.0|0.0|0.0|0.0|0.0|Happy
489|0.0|0.0|0.0|0.0|1.0|Fear
490|0.0|0.0|0.0|0.0|0.0|Happy
491|1.0|0.0|0.0|0.0|0.0|Happy
492|0.0|0.0|0.0|0.0|0.0|Happy
493|0.5|0.0|0.25|0.0|0.25|Happy
494|0.12|0.0|0.5|0.12|0.25|Surprise
495|0.0|0.0|0.0|0.0|0.0|Happy
496|0.0|0.0|0.0|0.0|0.0|Happy
497|0.0|0.0|0.0|0.0|0.0|Happy
498|0.0|0.0|0.0|0.0|0.0|Happy
499|0.0|0.0|0.0|0.0|0.0|Happy
500|0.09|0.04|0.26|0.22|0.39|Fear
501|0.2|0.0|0.2|0.2|0.4|Fear
502|0.0|0.0|0.0|0.0|0.0|Happy
503|0.0|0.0|0.0|0.0|0.0|Happy
504|0.0|0.0|0.18|0.18|0.64|Fear
505|0.0|0.0|0.0|0.0|0.0|Happy
506|0.0|0.0|0.0|0.67|0.33|Sad
507|0.0|0.0|0.0|0.0|0.0|Happy
508|0.0|0.0|0.0|0.0|0.0|Happy
509|0.31|0.08|0.23|0.23|0.15|Happy
510|0.0|0.0|0.0|0.0|0.0|Happy
511|0.0|0.0|0.0|0.0|1.0|Fear
512|0.0|0.0|0.0|0.0|0.0|Happy
513|0.0|0.0|0.0|1.0|0.0|Sad
514|0.0|0.0|0.0|0.0|0.0|Happy
515|0.0|0.0|0.0|0.0|0.0|Happy
516|0.0|0.0|0.0|0.0|0.0|Happy
517|0.0|0.0|0.0|0.0|0.0|Happy
518|0.0|0.0|0.0|0.0|0.0|Happy
519|0.0|0.0|0.0|0.0|0.0|Happy
520|0.0|0.0|0.0|0.0|0.0|Happy
521|0.0|0.0|0.0|0.0|1.0|Fear
522|0.29|0.0|0.43|0.14|0.14|Surprise
523|0.0|0.0|1.0|0.0|0.0|Surprise
524|0.0|0.0|0.0|0.0|0.0|Happy
525|0.0|0.0|0.0|0.0|0.0|Happy
526|0.0|0.0|0.0|0.5|0.5|Sad
527|0.0|0.0|0.0|0.0|0.0|Happy
528|0.0|0.0|0.0|0.0|0.0|Happy
